NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NANS	427	3.5959136486053467	0.0057377014	Yes	
row_1	GNE	451	3.321181058883667	0.031618	Yes	
row_2	CYB5R3	656	1.931660771369934	0.048474014	Yes	
row_3	CMAS	702	1.7270851135253906	0.07325743	Yes	
row_4	HEXA	1132	0.8210882544517517	0.07889542	Yes	
row_5	AMDHD2	1271	0.6614532470703125	0.09904206	Yes	
row_6	GPI	1321	0.6107203960418701	0.123626046	Yes	
row_7	PGM2	1894	0.30073314905166626	0.12213435	Yes	
row_8	GNPNAT1	3154	0.09795195609331131	0.08639027	Yes	
row_9	GNPDA2	3435	0.07750258594751358	0.09945709	Yes	
row_10	GFPT1	3877	0.054780080914497375	0.10449678	Yes	
row_11	GNPDA1	3990	0.04990944638848305	0.12593973	Yes	
row_12	GMDS	4087	0.04677623510360718	0.1481804	Yes	
row_13	UGDH	4161	0.04429038614034653	0.1715678	Yes	
row_14	HEXB	4256	0.04052984341979027	0.19390817	Yes	
row_15	NPL	5416	0.015454004518687725	0.1631499	Yes	
row_16	UGP2	5462	0.014774896204471588	0.18793331	Yes	
row_17	GMPPB	5602	0.012821072712540627	0.20803009	Yes	
row_18	GALT	5707	0.011462248861789703	0.2298719	Yes	
row_19	UXS1	5846	0.010114951059222221	0.25001854	Yes	
row_20	HK1	5870	0.009860457852482796	0.2758988	Yes	
row_21	NANP	6119	0.007941462099552155	0.29056108	Yes	
row_22	GALK1	6320	0.00652324641123414	0.30761653	Yes	
row_23	PMM1	6741	0.003956071566790342	0.31370324	Yes	
row_24	GALE	7422	0.0014348323456943035	0.3068269	No	
row_25	FPGT	9924	-3.637241661635926E-6	0.2091593	No	
row_26	PGM3	10375	-2.3312505800276995E-4	0.21375027	No	
row_27	PMM2	10625	-4.7469124547205865E-4	0.22836268	No	
row_28	GMPPA	11667	-0.002955938456580043	0.20348763	No	
row_29	CYB5R1	12716	-0.00860870722681284	0.17826357	No	
row_30	PGM1	13277	-0.013702834956347942	0.17737018	No	
row_31	MPI	14287	-0.028891287744045258	0.15409057	No	
row_32	HK2	15446	-0.060038913041353226	0.12338214	No	
row_33	GALK2	17087	-0.17427895963191986	0.0686422	No	
row_34	NAGK	17385	-0.21825948357582092	0.080861434	No	
row_35	GFPT2	19016	-1.035494327545166	0.026620071	No	
row_36	UAP1	19316	-1.6598639488220215	0.038739584	No	
