NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL5A2	34	34.61332702636719	0.004317954	No	
row_1	MYL9	199	8.747628211975098	0.0021124235	No	
row_2	COL3A1	249	6.410652160644531	0.005677668	No	
row_3	CCND3	328	4.929376125335693	0.0077876733	No	
row_4	ITGB5	375	4.246506214141846	0.01150346	No	
row_5	RELN	591	2.278290033340454	0.0067387163	No	
row_6	PPP1R12A	694	1.7618932723999023	0.007644386	No	
row_7	VEGFD	811	1.3729690313339233	0.007847527	No	
row_8	PIK3R1	905	1.1902886629104614	0.009204823	No	
row_9	PGF	933	1.1255213022232056	0.013874041	No	
row_10	VEGFB	941	1.1097019910812378	0.019546872	No	
row_11	RAP1B	1040	0.9462732076644897	0.020653265	No	
row_12	BAD	1255	0.6761559247970581	0.015938703	No	
row_13	MYL5	1328	0.6055365800857544	0.018349791	No	
row_14	COL5A1	1456	0.49718350172042847	0.018000945	No	
row_15	PARVA	1867	0.3101733922958374	0.003450975	No	
row_16	VEGFC	1950	0.2863914668560028	0.005360258	No	
row_17	LAMB2	2411	0.1855752021074295	-0.011698745	No	
row_18	ITGB7	2547	0.16350536048412323	-0.012449036	No	
row_19	PDGFRB	2594	0.15738922357559204	-0.00873325	No	
row_20	VWF	2648	0.15031157433986664	-0.005368728	No	
row_21	RAC1	2665	0.148753821849823	-1.4752266E-4	No	
row_22	ELK1	2849	0.12765787541866302	-0.0033064855	No	
row_23	SRC	2990	0.11314385384321213	-0.0043076803	No	
row_24	MYLK	3020	0.10972921550273895	2.6117708E-4	No	
row_25	TLN1	3088	0.1040765717625618	0.0029231696	No	
row_26	RAP1A	3354	0.08331353217363358	-0.0043506064	No	
row_27	BCL2	4049	0.04810969531536102	-0.03315188	No	
row_28	FLNB	4220	0.04233411327004433	-0.035658494	No	
row_29	FLT1	4240	0.04125284403562546	-0.030587832	No	
row_30	VEGFA	4273	0.040147606283426285	-0.026169516	No	
row_31	THBS3	4640	0.0299064964056015	-0.038511537	No	
row_32	ACTN1	4662	0.029253464192152023	-0.033541236	No	
row_33	PDPK1	4679	0.028748970478773117	-0.02832003	No	
row_34	PPP1CC	4698	0.028355775400996208	-0.023199186	No	
row_35	FLNC	4768	0.0266550425440073	-0.020637553	No	
row_36	ITGA1	4821	0.025402702391147614	-0.017222852	No	
row_37	COL1A2	5120	0.019719984382390976	-0.026152588	No	
row_38	MYL12B	5222	0.018039563670754433	-0.025196739	No	
row_39	ACTN2	5321	0.016688132658600807	-0.024090346	No	
row_40	VAV3	5360	0.016200711950659752	-0.019973114	No	
row_41	RAC2	5521	0.014052990823984146	-0.021977922	No	
row_42	COL4A1	5715	0.0113880829885602	-0.025638692	No	
row_43	ITGA11	5732	0.011204264126718044	-0.020417485	No	
row_44	SHC1	5838	0.010264786891639233	-0.019662358	No	
row_45	ERBB2	5855	0.010000564157962799	-0.014441152	No	
row_46	PIK3CD	5877	0.009838816709816456	-0.009470849	No	
row_47	MAPK10	6107	0.008022389374673367	-0.014938123	No	
row_48	ITGB3	6218	0.007239457685500383	-0.014433898	No	
row_49	ACTN4	6243	0.007097599096596241	-0.009614137	No	
row_50	EGF	6509	0.005276467185467482	-0.016887913	No	
row_51	RASGRF1	6571	0.004894881974905729	-0.013924837	No	
row_52	ITGAV	6718	0.0040677739307284355	-0.015227116	No	
row_53	GRB2	6740	0.003956165164709091	-0.010256813	No	
row_54	PTEN	7081	0.0025178957730531693	-0.021294137	No	
row_55	LAMC1	7153	0.002302725100889802	-0.018832868	No	
row_56	AKT1	7390	0.0015346197178587317	-0.024651404	No	
row_57	CRK	7534	0.0011680213501676917	-0.025803141	No	
row_58	COL4A2	7639	9.415540844202042E-4	-0.024997832	No	
row_59	PIK3CA	7722	7.560415542684495E-4	-0.02308855	No	
row_60	ILK	7770	6.651406874880195E-4	-0.019422945	No	
row_61	BRAF	7790	6.247541750781238E-4	-0.014352281	No	
row_62	PDGFB	7874	5.143790040165186E-4	-0.012493178	No	
row_63	MAPK9	7896	4.8411558964289725E-4	-0.007522876	No	
row_64	XIAP	7920	4.510151920840144E-4	-0.0026529348	No	
row_65	ITGA2B	8158	2.2892009292263538E-4	-0.008521653	No	
row_66	MYLK3	8282	1.2947827053721994E-4	-0.008669777	No	
row_67	CTNNB1	8326	1.0640863911248744E-4	-0.004803448	No	
row_68	CCND1	8327	1.0482340439921245E-4	0.001220648	No	
row_69	PDGFD	8464	5.3358009608928114E-5	4.2017578E-4	No	
row_70	PRKCB	9891	-7.278003977262415E-7	-0.065113336	No	
row_71	SHC3	10167	-8.886949217412621E-5	-0.07288892	No	
row_72	MAPK1	10352	-2.0732150005642325E-4	-0.07609806	No	
row_73	RHOA	10538	-3.8966728607192636E-4	-0.079357386	No	
row_74	ROCK1	10717	-5.880756070837379E-4	-0.082265444	No	
row_75	ITGB6	10927	-9.887542109936476E-4	-0.0867291	No	
row_76	PAK2	11011	-0.001160693820565939	-0.08487	No	
row_77	LAMA4	11122	-0.0013626781292259693	-0.08436578	No	
row_78	ARHGAP35	11171	-0.0014859377406537533	-0.08075035	No	
row_79	LAMB3	11209	-0.0015927350614219904	-0.07658294	No	
row_80	AKT2	11356	-0.0019501808565109968	-0.07788522	No	
row_81	CAPN2	11613	-0.002728258026763797	-0.08470737	No	
row_82	AKT3	11712	-0.0031537769827991724	-0.083600976	No	
row_83	FLNA	12214	-0.00552345160394907	-0.102717385	No	
row_84	MYLK2	12405	-0.006643235217779875	-0.106227614	No	
row_85	LAMA5	12531	-0.007404081057757139	-0.1064761	No	
row_86	BCAR1	12766	-0.009029226377606392	-0.11219428	No	
row_87	PRKCG	12773	-0.00905537698417902	-0.10647126	No	
row_88	PIK3CB	12921	-0.01028058584779501	-0.10782372	No	
row_89	SPP1	12979	-0.010832174681127071	-0.10465992	No	
row_90	PPP1CB	13148	-0.012455202639102936	-0.10706618	No	
row_91	THBS4	13171	-0.012653334997594357	-0.10214605	No	
row_92	CAV2	13185	-0.012826580554246902	-0.0967743	No	
row_93	COL11A2	13190	-0.012868441641330719	-0.09095093	No	
row_94	ITGA10	13198	-0.01292474940419197	-0.0852781	No	
row_95	GSK3B	13211	-0.013036919757723808	-0.07985617	No	
row_96	PARVB	13432	-0.015406851656734943	-0.08487182	No	
row_97	TNXB	13606	-0.017580488696694374	-0.087528974	No	
row_98	PTK2	13686	-0.01880517788231373	-0.08546915	No	
row_99	COL4A4	13706	-0.018983513116836548	-0.080398485	No	
row_100	DOCK1	13779	-0.020088955760002136	-0.077987395	No	
row_101	MAP2K1	14256	-0.028309615328907967	-0.09584929	No	
row_102	IGF1R	14647	-0.03585853800177574	-0.109395646	No	
row_103	PAK1	14908	-0.04236678406596184	-0.11641852	No	
row_104	ITGB4	15003	-0.04506142809987068	-0.1151114	No	
row_105	SHC2	15178	-0.05080855265259743	-0.11781874	Yes	
row_106	PDGFA	15190	-0.051145896315574646	-0.112346634	Yes	
row_107	SOS1	15288	-0.05413109436631203	-0.11119006	Yes	
row_108	ITGA2	15331	-0.055631015449762344	-0.10727355	Yes	
row_109	HRAS	15438	-0.05966896936297417	-0.106568605	Yes	
row_110	MYL12A	15676	-0.06970091164112091	-0.11243732	Yes	
row_111	PIP5K1C	15774	-0.07383016496896744	-0.11128075	Yes	
row_112	ITGA7	15887	-0.07907246053218842	-0.11087689	Yes	
row_113	PRKCA	15972	-0.08319273591041565	-0.10906796	Yes	
row_114	PAK6	16071	-0.0881427675485611	-0.10796157	Yes	
row_115	PAK3	16087	-0.08904312551021576	-0.10269018	Yes	
row_116	SOS2	16171	-0.09380212426185608	-0.100831084	Yes	
row_117	COL6A1	16204	-0.09653890877962112	-0.09641277	Yes	
row_118	ITGA5	16393	-0.10941540449857712	-0.09982263	Yes	
row_119	MAPK3	16593	-0.1256481409072876	-0.10378449	Yes	
row_120	DIAPH1	16596	-0.1257982850074768	-0.09786075	Yes	
row_121	FN1	16711	-0.1363092064857483	-0.09755725	Yes	
row_122	ARHGAP5	16891	-0.1521805375814438	-0.10051549	Yes	
row_123	FYN	17010	-0.16446490585803986	-0.10041271	Yes	
row_124	PAK4	17040	-0.1681891232728958	-0.09584385	Yes	
row_125	COL6A3	17148	-0.18257564306259155	-0.09518909	Yes	
row_126	CRKL	17227	-0.19398127496242523	-0.09307908	Yes	
row_127	PXN	17294	-0.20478247106075287	-0.09036691	Yes	
row_128	VCL	17322	-0.2082574963569641	-0.08569769	Yes	
row_129	COL5A3	17361	-0.2145472913980484	-0.08158046	Yes	
row_130	RAPGEF1	17395	-0.21970073878765106	-0.077212326	Yes	
row_131	BIRC3	17430	-0.22566871345043182	-0.07289437	Yes	
row_132	ITGA3	17500	-0.23810820281505585	-0.070332736	Yes	
row_133	PIK3R3	17730	-0.2871997654438019	-0.07580001	Yes	
row_134	COL1A1	18152	-0.40757429599761963	-0.09090197	Yes	
row_135	LAMB1	18163	-0.41304269433021545	-0.085379675	Yes	
row_136	ITGA6	18299	-0.46703895926475525	-0.08612997	Yes	
row_137	ACTB	18361	-0.4920198619365692	-0.08316689	Yes	
row_138	VASP	18378	-0.49633678793907166	-0.07794569	Yes	
row_139	CDC42	18568	-0.5984136462211609	-0.08140574	Yes	
row_140	ROCK2	18597	-0.616467297077179	-0.0767867	Yes	
row_141	LAMA2	18612	-0.6242602467536926	-0.07146513	Yes	
row_142	ZYX	18657	-0.6534674763679504	-0.067648984	Yes	
row_143	LAMC2	18728	-0.7253105640411377	-0.06513753	Yes	
row_144	COL6A2	18867	-0.8549227714538574	-0.06603836	Yes	
row_145	THBS1	18895	-0.8877118825912476	-0.061369143	Yes	
row_146	PPP1CA	18968	-0.9794934988021851	-0.058958057	Yes	
row_147	JUN	19015	-1.0352187156677246	-0.05524227	Yes	
row_148	ACTG1	19025	-1.0516835451126099	-0.0496698	Yes	
row_149	VAV2	19060	-1.1033666133880615	-0.045351844	Yes	
row_150	ITGB1	19093	-1.1656793355941772	-0.04093353	Yes	
row_151	CCND2	19114	-1.1933430433273315	-0.035913046	Yes	
row_152	MAPK8	19142	-1.2508012056350708	-0.031243827	Yes	
row_153	BIRC2	19210	-1.392499327659607	-0.028581835	Yes	
row_154	PDGFC	19225	-1.4268537759780884	-0.023260267	Yes	
row_155	RAF1	19286	-1.5996335744857788	-0.02024701	Yes	
row_156	TLN2	19344	-1.8061293363571167	-0.017083213	Yes	
row_157	EGFR	19374	-1.933792233467102	-0.012514355	Yes	
row_158	LAMA3	19408	-2.0670230388641357	-0.00814622	Yes	
row_159	CAV1	19674	-4.560967922210693	-0.015419996	Yes	
row_160	RAC3	19734	-5.577264785766602	-0.012356558	Yes	
row_161	ITGB8	19871	-10.507589340209961	-0.013157031	Yes	
row_162	COL4A6	19949	-18.89813804626465	-0.010996845	Yes	
row_163	MET	19950	-19.027936935424805	-0.004972748	Yes	
row_164	TNC	19951	-19.393009185791016	0.0010513479	Yes	
row_165	LAMA1	19964	-21.70013427734375	0.0064732763	Yes	
