NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIK3R1	1113	3.7705750465393066	-0.03416312	No	
row_1	EIF4EBP1	1337	2.626317024230957	-0.03148849	No	
row_2	ELK1	1418	2.387678623199463	-0.022894986	No	
row_3	PIK3CD	1430	2.3476040363311768	-0.011445522	No	
row_4	AKT3	1633	1.8336325883865356	-0.007901687	No	
row_5	CBLB	2185	1.0218617916107178	-0.018803217	No	
row_6	BAD	2234	0.970659077167511	-0.008885209	No	
row_7	NRAS	2986	0.5092548131942749	-0.028064884	No	
row_8	PLCG2	3083	0.46674782037734985	-0.020133633	No	
row_9	CAMK2B	3596	0.3128747045993805	-0.029420923	No	
row_10	ARAF	3941	0.24401643872261047	-0.031754572	No	
row_11	CRK	4087	0.21972838044166565	-0.025851466	No	
row_12	MTOR	4137	0.20917339622974396	-0.01597485	No	
row_13	GRB2	4325	0.18383075296878815	-0.011810155	No	
row_14	GSK3B	5045	0.11023862659931183	-0.029665327	No	
row_15	PIK3CA	5552	0.07622789591550827	-0.038704272	No	
row_16	PAK2	6563	0.03421839326620102	-0.06860415	No	
row_17	CDKN1B	6896	0.02522600255906582	-0.070441104	No	
row_18	PLCG1	7022	0.022374117746949196	-0.06371019	No	
row_19	MAP2K2	7294	0.017138883471488953	-0.063022316	No	
row_20	STAT5A	7427	0.014895728789269924	-0.056581125	No	
row_21	RPS6KB2	7960	0.00814303383231163	-0.066696234	No	
row_22	ERBB4	9011	0.001195726334117353	-0.09825174	No	
row_23	NRG1	9289	4.872648569289595E-4	-0.097812206	No	
row_24	ABL2	9560	9.909024083754048E-5	-0.09708294	No	
row_25	NCK1	10374	-1.6919859262998216E-5	-0.11882884	No	
row_26	AKT2	10474	-6.654558092122898E-5	-0.111021765	No	
row_27	PAK1	10856	-6.111451657488942E-4	-0.114886865	No	
row_28	KRAS	10929	-7.755726692266762E-4	-0.10596224	No	
row_29	BTC	11023	-0.0010701564606279135	-0.09790681	No	
row_30	SOS2	11579	-0.0035762807819992304	-0.108973905	No	
row_31	MAP2K4	11740	-0.004550959449261427	-0.10369166	No	
row_32	AKT1	11870	-0.005537042394280434	-0.097126305	No	
row_33	HRAS	12724	-0.013701741583645344	-0.12052783	No	
row_34	MAP2K1	13183	-0.019732162356376648	-0.12758002	No	
row_35	EGF	13403	-0.023067260161042213	-0.12473983	No	
row_36	MAPK3	13575	-0.026277275756001472	-0.119912885	No	
